Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
2500 Folkner Rd,Chattanooga,TN,37343,12/18/2017 11:46:00 PM,TN0330100,A2,Adam N,120,Robbery,Part 1 Crimes,17-121610,3,Pending/Possible Leads,35.154846,-85.189675,POINT (-85.189675 35.154846),
2500 Folkner Rd,Chattanooga,TN,37343,12/18/2017 11:46:00 PM,TN0330100,A2,Adam N,13A,Aggravated Assault,Part 1 Crimes,17-121610,3,Pending/Possible Leads,35.153383,-85.190107,POINT (-85.190107 35.153383),3
2200 Chamberlain Ave,Chattanooga,TN,37404,12/18/2017 02:30:00 PM,TN0330100,B5,Baker S,13A,Aggravated Assault,Part 1 Crimes,17-121455,2,Cleared by Arrest,35.032737000000004,-85.27109,POINT (-85.27109 35.032737),9
400 Booth Rd,Chattanooga,TN,37411,12/18/2017 11:00:00 AM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-121399,2,Cleared by Arrest,35.030908000000004,-85.243754,POINT (-85.243754 35.030908),9
3200 Rosemont Dr,Chattanooga,TN,37411,12/17/2017 05:17:00 AM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-121039,3,Pending/Possible Leads,35.025853999999995,-85.254798,POINT (-85.254798 35.025854),9
1400 Cowart St,Chattanooga,TN,37408,12/17/2017 02:47:00 AM,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-121021,2,Cleared by Arrest,35.037971,-85.310302,POINT (-85.310302 35.037971),7
1400 Cowart St,Chattanooga,TN,37408,12/17/2017 02:47:00 AM,TN0330100,A9,Adam S,09A,Murder & Non-Negligent Manslaughter,Part 1 Crimes,17-121021,2,Cleared by Arrest,35.037825,-85.310326,POINT (-85.310326 35.037825),7
2000 Cleveland Ave,Chattanooga,TN,37404,12/16/2017 06:20:00 PM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-120912,2,Cleared by Arrest,35.043676,-85.26885200000001,POINT (-85.268852 35.043676),8
800 E 49th St,Chattanooga,TN,37410,12/16/2017 02:00:00 PM,TN0330100,A12,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-121375,2,Cleared by Arrest,34.9917838,-85.30438,POINT (-85.30438 34.9917838),7
700 N Kelley St,Chattanooga,TN,37404,12/16/2017 12:10:00 PM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-120841,2,Cleared by Arrest,35.043319,-85.265758,POINT (-85.265758 35.043319),8
2000 Taylor St,Chattanooga,TN,37406,12/16/2017 11:30:00 AM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-120795,2,Cleared by Arrest,35.05938,-85.25601999999999,POINT (-85.25602 35.05938),9
2300 Windsor St,Chattanooga,TN,37406,12/16/2017 10:00:00 AM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-120780,2,Cleared by Arrest,35.046313000000005,-85.260177,POINT (-85.260177 35.046313),8
3500 Cummings Hwy,Chattanooga,TN,37419,12/15/2017 10:16:00 PM,TN0330100,A13,Adam S,120,Robbery,Part 1 Crimes,17-120651,2,Cleared by Arrest,35.016947,-85.376716,POINT (-85.376716 35.016947),1
1500 Mulberry St,Chattanooga,TN,37404,12/15/2017 07:43:00 PM,TN0330100,B6,Baker S,120,Robbery,Part 1 Crimes,17-120614,3,Pending/Possible Leads,35.02489,-85.278274,POINT (-85.278274 35.02489),8
5900 Brainerd Rd,Chattanooga,TN,37411,12/15/2017 03:00:00 PM,TN0330100,C3,Charlie S,120,Robbery,Part 1 Crimes,18-002902,3,Pending/Possible Leads,35.013676999999994,-85.211333,POINT (-85.211333 35.013677),6
2000 Rawlings St,Chattanooga,TN,37406,12/15/2017 12:45:00 PM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,17-120484,3,Pending/Possible Leads,35.047437,-85.267029,POINT (-85.267029 35.047437),8
3100 Dee Dr,Chattanooga,TN,37406,12/15/2017 09:45:00 AM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-120420,3,Pending/Possible Leads,35.054558,-85.241222,POINT (-85.241222 35.054558),5
600 W 14th Street Ct,Chattanooga,TN,37402,12/15/2017 03:32:00 AM,TN0330100,A6,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-120356,2,Cleared by Arrest,35.041991,-85.318586,POINT (-85.318586 35.041991),7
800 E 8th St,Chattanooga,TN,37403,12/15/2017 02:30:00 AM,TN0330100,A7,Adam S,120,Robbery,Part 1 Crimes,17-120360,3,Pending/Possible Leads,35.042932,-85.29643499999999,POINT (-85.296435 35.042932),8
2100 Chamberlain Ave,Chattanooga,TN,37404,12/14/2017 06:25:00 PM,TN0330100,B5,Baker S,13A,Aggravated Assault,Part 1 Crimes,17-120260,2,Cleared by Arrest,35.032789,-85.271103,POINT (-85.271103 35.032789),9
7700 Standifer Gap Rd,Chattanooga,TN,37421,12/14/2017 05:20:00 PM,TN0330100,C9,Charlie N,13A,Aggravated Assault,Part 1 Crimes,17-120244,3,Pending/Possible Leads,35.047308,-85.129812,POINT (-85.129812 35.047308),4
1100 Grove St,Chattanooga,TN,37402,12/14/2017 07:15:00 AM,TN0330100,A6,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-120095,2,Cleared by Arrest,35.045513,-85.317775,POINT (-85.317775 35.045513),7
1400 Jefferson St,Chattanooga,TN,37408,12/13/2017 07:45:00 PM,TN0330100,A9,Adam S,120,Robbery,Part 1 Crimes,17-119967,3,Pending/Possible Leads,35.034402,-85.299464,POINT (-85.299464 35.034402),8
900 Shallowford Rd,Chattanooga,TN,37411,12/13/2017 02:30:00 PM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-119862,2,Cleared by Arrest,35.03741599999999,-85.23715200000001,POINT (-85.237152 35.037416),9
